Country,2000,2005,2006,2010
Afghanistan,4.9,13.6,18.6,21.8
Albania,57.5,60.1,,
Algeria,64,,61.4,
Angola,,,,
Anguilla,,,,
Argentina,,78.9,,
Armenia,60.5,53.1,,54.9
Australia,,72.3,,
Austria,,,,
Azerbaijan,55.1,,51.1,
Bahrain,,,,
Bangladesh,54.3,,,
Barbados,,,,
Belarus,,72.6,,
Belgium,,,,70.4
Belize,,,34.3,
Benin,,,17,
Bhutan,30.7,,,65.6
Bolivia,53.4,,,
Bosnia and Herzegovina,47.5,,35.7,
Botswana,44.4,,,
Brazil,,,80.3,
Bulgaria,,64.4,,
Burkina Faso,,,17.4,
Burundi,15.7,9.1,,
Cambodia,23.8,40,,
Cameroon,25.6,,29.2,
Canada,,,,
Cape Verde,,61.3,,
Central African Republic,27.9,,19,
Chad,7.9,,,4.8
Chile,,,64.2,
China,,,84.6,
"China, Hong Kong Special Administrative Region",,,,
Colombia,76.9,78.2,,79.1
Comoros,25.7,,,
Congo,,44.3,,
Cook Islands,,,,
Costa Rica,,,,82.2
Cote d'Ivoire,,,12.9,
Cuba,73.3,,72.6,
Czech Republic,,78.2,,
Democratic Republic of the Congo,,,,17.7
Denmark,,,,
Djibouti,,,17.8,
Dominican Republic,64.7,,61.3,73
Ecuador,,,,
Egypt,56.1,59.2,,
El Salvador,,,,
Equatorial Guinea,10.1,,,
Eritrea,,,,
Estonia,,63.4,,
Ethiopia,8.1,14.7,,
Finland,,,,
France,81.8,74.8,,
Gabon,32.7,,,
Gambia,9.5,,,13.3
Georgia,40.5,47.3,45.6,53.4
Germany,,66.2,,
Ghana,,,24.2,
Greece,,,,
Grenada,,,,
Guam,,,,
Guatemala,,,,
Guinea,,9.1,,
Guinea-Bissau,7.6,,10.3,14.2
Guyana,37.3,34.6,,
Haiti,28.1,,32,
Honduras,,,65.2,
Hungary,,,,
India,46.9,,56.3,
Indonesia,54.8,57.9,,
Iran (Islamic Republic of),73.8,,,
Iraq,43.5,,49.8,
Ireland,,64.8,,
Italy,,,,
Jamaica,,,,
Japan,55.9,54.3,,
Jordan,,,,
Kazakhstan,,,50.7,
Kenya,,,,
Kiribati,36.1,,,
"Korea, Democratic People's Republic of",,,,70.6
"Korea, Republic of",79.3,80.2,79.6,
Kuwait,,,,
Kyrgyzstan,,,47.8,
Lao People's Democratic Republic,32.2,38.4,,
Latvia,,,,
Lebanon,62.7,,,
Lesotho,30.4,37.3,,47
Liberia,,,,
Libyan Arab Jamahiriya,,,,
Lithuania,,,62.9,
Madagascar,18.8,,,
Malawi,30.6,,41,46.1
Malaysia,,,,
Maldives,,,,
Mali,,,8.2,
Malta,,,,
Marshall Islands,,,,
Mauritania,,,,
Mauritius,,,,
Mexico,,,70.9,
Mongolia,67.4,66,,54.9
Montenegro,52.7,,39.4,
Morocco,,,,
Mozambique,,,,
Myanmar,,,,46
Namibia,43.7,,,
Nauru,,,,
Nepal,37.3,,48,
Netherlands,,,,
New Zealand,,,,
Nicaragua,,,,
Niger,14,,11.2,
Nigeria,,,,
Norway,,88.4,,
Oman,31.7,,,
Pakistan,,,26,
Palau,,,,
Panama,,,,
Papua New Guinea,,,,
Paraguay,,,,
Peru,68.9,,71.3,74.4
Philippines,47,49.3,50.6,
Poland,,,,
Portugal,,,86.8,
Puerto Rico,,,,
Qatar,,,,
Republic of Moldova,62.4,67.8,,
Reunion,,,,
Romania,,69.8,,
Russian Federation,,,,
Rwanda,13.2,17.4127,,
Saint Lucia,,,,
Samoa,,,,
Sao Tome and Principe,29.3,,30.7,
Saudi Arabia,,,,
Senegal,,11.8,,
Serbia,58.7,,41.2,60.8
Sierra Leone,4.3,5.3,,11
Singapore,,,,
Slovakia,,,,
Slovenia,,,,
Solomon Islands,,,,
Somalia,,,14.6,
South Africa,,,,
South Sudan,,,3.5,4
Spain,,,65.7,
Sri Lanka,70,,,
State of Palestine,51.4,,,52.5
Sudan,,,9.5,9
Suriname,42.1,,45.6,47.6
Swaziland,27.7,,,65.2
Sweden,,,,
Switzerland,,,,
Syrian Arab Republic,,,58.3,53.9
Tajikistan,33.9,37.9,,
Thailand,,71.5,81.1,
The former Yugoslav Republic of Macedonia,,,,
Timor-Leste,,,,22.3
Togo,25.7,,16.8,15.2
Tonga,,,,
Trinidad and Tobago,38.2,,42.5,
Tunisia,65.5,,60.2,
Turkey,,,,
Turkmenistan,61.83,,48,
Tuvalu,,,,
Uganda,,19.7,23.7,
Ukraine,71.6,65.6,,
United Arab Emirates,,,,
United Kingdom,76.014,82,82,
United Republic of Tanzania,,26.4,,34.4
United States,,,,76.4
United States Virgin Islands,,,,
Uruguay,,,,
Uzbekistan,67.2,,64.9,
Vanuatu,,,,
Venezuela,,,,
Viet Nam,74.2,76.8,75.7,78
Yemen,,,27.7,
Zambia,,,,
Zimbabwe,,,60.2,
