,Country,mm,cp
0,Afghanistan,1.0,4.9
1,Albania,0.039,57.5
2,Algeria,0.14,64.0
3,Angola,0.89,
4,Argentina,0.063,
5,Armenia,0.038,60.5
6,Australia,0.009,
7,Austria,0.005,
8,Azerbaijan,0.065,55.1
9,Bahrain,0.022,
10,Bangladesh,0.4,54.3
11,Barbados,0.049,
12,Belarus,0.031,
13,Belgium,0.009,
14,Belize,0.1,
15,Benin,0.53,
16,Bhutan,0.43,30.7
17,Bolivia,0.28,53.4
18,Bosnia and Herzegovina,0.01,47.5
19,Botswana,0.35,44.4
20,Brazil,0.081,
21,Bulgaria,0.028,
22,Burkina Faso,0.45,
23,Burundi,1.0,15.7
24,Cambodia,0.51,23.8
25,Cameroon,0.73,25.6
26,Canada,0.007,
27,Cape Verde,0.17,
28,Central African Republic,1.0,27.9
29,Chad,1.1,7.9
30,Chile,0.029,
31,China,0.061,
32,Colombia,0.13,76.9
33,Comoros,0.34,25.7
34,Costa Rica,0.047,
35,Cote d'Ivoire,0.59,
36,Cuba,0.063,73.3
37,Czech Republic,0.007,
38,Denmark,0.008,
39,Djibouti,0.29,
40,Dominican Republic,0.13,64.7
41,Ecuador,0.13,
42,Egypt,0.1,56.1
43,El Salvador,0.11,
44,Equatorial Guinea,0.45,10.1
45,Eritrea,0.39,
46,Estonia,0.028,
47,Ethiopia,0.7,8.1
48,Finland,0.005,
49,France,0.01,81.8
50,Gabon,0.27,32.7
51,Gambia,0.52,9.5
52,Georgia,0.058,40.5
53,Germany,0.007,
54,Ghana,0.55,
55,Greece,0.005,
56,Grenada,0.027,
57,Guatemala,0.13,
58,Guinea,0.97,
59,Guinea-Bissau,0.97,7.6
60,Guyana,0.22,37.3
61,Haiti,0.46,28.1
62,Honduras,0.16,
63,Hungary,0.01,
64,India,0.39,46.9
65,Indonesia,0.34,54.8
66,Iraq,0.078,43.5
67,Ireland,0.006,
68,Italy,0.004,
69,Jamaica,0.083,
70,Japan,0.01,55.9
71,Jordan,0.079,
72,Kazakhstan,0.07,
73,Kenya,0.49,
74,Kuwait,0.009,
75,Latvia,0.043,
76,Lebanon,0.038,62.7
77,Lesotho,0.69,30.4
78,Liberia,1.3,
79,Lithuania,0.021,
80,Madagascar,0.4,18.8
81,Malawi,0.84,30.6
82,Malaysia,0.039,
83,Maldives,0.19,
84,Mali,0.74,
85,Malta,0.012,
86,Mauritania,0.63,
87,Mauritius,0.028,
88,Mexico,0.082,
89,Mongolia,0.096,67.4
90,Montenegro,0.011,52.7
91,Morocco,0.17,
92,Mozambique,0.71,
93,Myanmar,0.3,
94,Namibia,0.28,43.7
95,Nepal,0.36,37.3
96,Netherlands,0.013,
97,New Zealand,0.012,
98,Nicaragua,0.13,
99,Niger,0.87,14.0
100,Nigeria,0.97,
101,Norway,0.008,
102,Oman,0.051,31.7
103,Pakistan,0.38,
104,Panama,0.11,
105,Papua New Guinea,0.31,
106,Paraguay,0.11,
107,Peru,0.12,68.9
108,Philippines,0.12,47.0
109,Poland,0.008,
110,Portugal,0.008,
111,Qatar,0.011,
112,Romania,0.052,
113,Rwanda,0.84,13.2
114,Samoa,0.15,
115,Sao Tome and Principe,0.11,29.3
116,Saudi Arabia,0.027,
117,Senegal,0.5,
118,Serbia,0.012,58.7
119,Sierra Leone,1.3,4.3
120,Singapore,0.015,
121,Slovenia,0.012,
122,Solomon Islands,0.12,
123,Somalia,1.0,
124,South Africa,0.33,
125,Spain,0.005,
126,Sri Lanka,0.058,70.0
127,Sudan,0.87,
128,Suriname,0.13,42.1
129,Swaziland,0.36,27.7
130,Sweden,0.005,
131,Switzerland,0.006,
132,Tajikistan,0.12,33.9
133,Thailand,0.066,
134,Timor-Leste,0.61,
135,Togo,0.44,25.7
136,Tonga,0.087,
137,Trinidad and Tobago,0.059,38.2
138,Tunisia,0.084,65.5
139,Turkey,0.039,
140,Turkmenistan,0.091,61.83
141,Uganda,0.53,
142,Ukraine,0.035,71.6
143,United Arab Emirates,0.014,
144,United Kingdom,0.012,76.014
145,United States,0.014,
146,Uruguay,0.035,
147,Uzbekistan,0.033,67.2
148,Vanuatu,0.12,
149,Venezuela,0.091,
150,Yemen,0.38,
151,Zambia,0.54,
152,Zimbabwe,0.64,
