,Country,bj,cp
0,Afghanistan,,18.6
1,Albania,,
2,Angola,,
3,Armenia,,
4,Azerbaijan,14.2,51.1
5,Bangladesh,,
6,Belize,2.5,34.3
7,Benin,17.3,17.0
8,Bolivia,,
9,Bosnia and Herzegovina,1.6,35.7
10,Burkina Faso,40.8,17.4
11,Burundi,,
12,Cambodia,,
13,Cameroon,,29.2
14,Chad,,
15,Colombia,,
16,Comoros,,
17,Cote d'Ivoire,,12.9
18,Dominican Republic,,61.3
19,Egypt,,
20,Eritrea,,
21,Ethiopia,,
22,Gabon,,
23,Gambia,61.6,
24,Georgia,,45.6
25,Ghana,,24.2
26,Guatemala,,
27,Guinea,,
28,Guinea-Bissau,28.4,10.3
29,Guyana,,
30,Haiti,8.6,32.0
31,Honduras,3.1,65.2
32,India,14.1,56.3
33,Indonesia,,
34,Kazakhstan,1.5,50.7
35,Kenya,,
36,Lesotho,,
37,Liberia,,
38,Madagascar,,
39,Malawi,,41.0
40,Maldives,,
41,Mali,56.8,8.2
42,Mongolia,,
43,Montenegro,1.6,39.4
44,Morocco,,
45,Mozambique,,
46,Myanmar,,
47,Namibia,,
48,Nepal,2.5,48.0
49,Nicaragua,,
50,Niger,57.0,11.2
51,Nigeria,,
52,Pakistan,,26.0
53,Peru,0.3,71.3
54,Philippines,,50.6
55,Rwanda,,
56,Sao Tome and Principe,,30.7
57,Senegal,,
58,Serbia,1.1,41.2
59,Sierra Leone,,
60,Somalia,64.4,14.6
61,Tajikistan,,
62,Timor-Leste,,
63,Togo,18.5,16.8
64,Trinidad and Tobago,0.5,42.5
65,Turkey,,
66,Turkmenistan,,48.0
67,Uganda,30.5,23.7
68,Ukraine,,
69,Yemen,,27.7
70,Zambia,,
71,Zimbabwe,24.3,60.2
