,Country,mm,bj,cp
0,Afghanistan,0.46,,21.8
1,Albania,0.027,,
2,Angola,0.45,,
3,Armenia,0.03,1.2,54.9
4,Azerbaijan,0.043,,
5,Bangladesh,0.24,,
6,Belize,0.053,,
7,Benin,0.35,,
8,Bolivia,0.19,,
9,Bosnia and Herzegovina,0.008,,
10,Burkina Faso,0.3,19.7,
11,Burundi,0.8,46.1,
12,Cambodia,0.25,13.7,
13,Cameroon,0.69,,
14,Chad,1.1,,4.8
15,Colombia,0.092,0.2,79.1
16,Comoros,0.28,,
17,Cote d'Ivoire,0.4,,
18,Dominican Republic,0.15,,73.0
19,Egypt,0.066,,
20,Eritrea,0.24,,
21,Ethiopia,0.35,,
22,Gabon,0.23,,
23,Gambia,0.36,,13.3
24,Georgia,0.067,,53.4
25,Ghana,0.35,,
26,Guatemala,0.12,,
27,Guinea,0.61,,
28,Guinea-Bissau,0.79,,14.2
29,Guyana,0.28,,
30,Haiti,0.35,,
31,Honduras,0.1,,
32,India,0.2,,
33,Indonesia,0.22,,
34,Kazakhstan,0.051,,
35,Kenya,0.36,,
36,Lesotho,0.62,,47.0
37,Liberia,0.77,,
38,Madagascar,0.24,,
39,Malawi,0.46,6.1,46.1
40,Maldives,0.06,,
41,Mali,0.54,,
42,Mongolia,0.063,,54.9
43,Montenegro,0.008,,
44,Morocco,0.1,,
45,Mozambique,0.49,,
46,Myanmar,0.2,,46.0
47,Namibia,0.2,,
48,Nepal,0.17,,
49,Nicaragua,0.095,,
50,Niger,0.59,,
51,Nigeria,0.63,,
52,Pakistan,0.26,,
53,Peru,0.067,0.8,74.4
54,Philippines,0.099,,
55,Rwanda,0.34,36.6,
56,Sao Tome and Principe,0.07,,
57,Senegal,0.37,,
58,Serbia,0.012,,60.8
59,Sierra Leone,0.89,,11.0
60,Somalia,1.0,,
61,Tajikistan,0.065,,
62,Timor-Leste,0.3,29.5,22.3
63,Togo,0.3,,15.2
64,Trinidad and Tobago,0.046,,
65,Turkey,0.02,,
66,Turkmenistan,0.067,,
67,Uganda,0.31,,
68,Ukraine,0.032,,
69,Yemen,0.2,,
70,Zambia,0.44,,
71,Zimbabwe,0.57,,
